 MCS  Time(hr)  APAP_exp_ug/ml  APAP_calc_ug/ml  APAP_abs_err_ug/ml  APAPS_exp_ug/ml  APAPS_calc_ug/ml  APAPS_abs_err_ug/ml  APAPG_exp_ug/ml  APAPG_calc_ug/ml  APAPG_abs_err_ug/ml  total_err_this_step  cumulative_total_err  RMSeTotal  accumChiSquaredTotal
      0    0.00          0.00    0.000    0.000          0.00    0.000    0.000          0.00    0.000    0.000         0.000    0.000        0.0000         0.0000
   1080    0.30          8.94   11.792    2.852          0.76    0.126    0.634          0.33    0.033    0.297         3.783    3.783        1.1990         1.7063
   1800    0.50         14.67   14.959    0.289          1.97    0.605    1.365          1.75    0.183    1.567         3.221    7.005        1.2031         4.0614
   2700    0.75         16.77   16.545    0.225          2.96    1.319    1.641          3.65    0.453    3.197         5.063   12.067        1.4717         7.7742
   3600    1.00         16.63   17.134    0.504          3.41    2.131    1.279          4.71    0.829    3.881         5.664   17.731        1.6921        11.4674
   5400    1.50         14.89   16.611    1.721          4.06    3.717    0.343          7.74    1.827    5.913         7.977   25.708        2.1212        16.2125
   7200    2.00         13.98   14.973    0.993          4.24    5.013    0.773          9.32    3.054    6.266         8.032   33.740        2.4087        20.6373
  10800    3.00         10.85   10.666    0.184          4.24    6.607    2.367         10.78    5.831    4.949         7.499   41.239        2.5163        24.2334
  14400    4.00          8.14    6.272    1.868          3.71    7.257    3.547         10.75    8.645    2.105         7.521   48.760        2.5274        28.4661
  18000    5.00          6.12    2.665    3.455          3.20    7.339    4.139          9.48   11.166    1.686         9.280   58.039        2.6101        36.0691
  21600    6.00          4.45    0.854    3.596          2.68    6.738    4.058          8.13   13.014    4.884        12.538   70.577        2.7941        48.0543
  25200    7.00          3.13    0.251    2.879          2.15    5.133    2.983          6.78   13.774    6.994        12.856   83.433        2.9988        62.0550
  28800    8.00          2.72    0.072    2.648          1.66    3.194    1.534          5.18   13.513    8.333        12.515   95.948        3.2127        79.4548
  43200   12.00          1.20    0.000    1.200          0.72    0.174    0.546          2.05    8.694    6.644         8.390  104.337        3.2675       102.6022
