mcs	time(hr)	hep1.dict['APAP']	hep1.dict['APAPG']	hep1.dict['APAPS']	blood1.dict['APAP']	blood1.dict['APAPG']	blood1.dict['APAPS']	PBPKspeciesDictAPAP['CLiver']	PBPKspeciesDictAPAPG['CLiver']	PBPKspeciesDictAPAPS['CLiver']	PBPKspeciesDictAPAP['CVen']	PBPKspeciesDictAPAPG['CVen']	PBPKspeciesDictAPAPS['CVen']	PBPKspeciesDictAPAP['CTubules']	PBPKspeciesDictAPAPG['CTubules']	PBPKspeciesDictAPAPS['CTubules']	SUBCELLspeciesDict['APAP']	SUBCELLspeciesDict['APAPconj_Glu']	SUBCELLspeciesDict['APAPconj_Sul']	SUBCELLspeciesDict['NAPQI']	SUBCELLspeciesDict['NAPQIGSH']	SUBCELLspeciesDict['GSH']
0	0.0	4.21502115711e-06	0.0	0.0	1.51488127033e-05	0.0	0.0	2.59590054484e-08	0.0	0.0	2.78238046852e-10	0.0	0.0	2.43382487059e-19	0.0	0.0	4.21502115711e-06	0.0	0.0	0.0	0.0	10.0
60	0.0166666666667	0.0133702558383	0.000197078283277	0.000156509666379	0.0253698440553	1.4268290624e-06	4.84175540049e-06	4.34737647732e-05	2.44501428134e-09	8.29683205427e-09	1.40829559292e-05	1.9708600461e-10	6.81360891472e-10	2.26111392051e-09	2.37424679704e-13	8.74826244534e-13	0.0133702558383	0.000197078283277	0.000156509666379	1.9842152401e-07	4.93012926146e-06	9.99999507824
120	0.0333333333333	0.0299909707364	0.000946844482673	0.000711138036816	0.0570897028148	1.29368084666e-05	4.20103370649e-05	9.78289147435e-05	2.21685149884e-08	7.19889135944e-08	5.32689932009e-05	3.11207720306e-09	1.0340518173e-08	4.50053673491e-08	1.84836951838e-11	7.73385178171e-11	0.0299909707364	0.000946844482673	0.000711138036816	4.47752334798e-07	2.4377966563e-05	9.99997571065
180	0.05	0.0460071065802	0.00223574934999	0.00159000648825	0.0773276435176	4.28024164925e-05	0.000132932460839	0.000132508649932	7.33462209016e-08	2.27793064893e-07	9.25233811409e-05	1.3409659866e-08	4.34122300281e-08	1.81646741465e-07	1.98759182824e-10	8.13521719145e-10	0.0460071065802	0.00223574934999	0.00159000648825	6.82442145948e-07	5.83972554352e-05	9.99994193158
240	0.0666666666667	0.0609715384949	0.00400900912474	0.0027050053751	0.0898259325828	9.58375425161e-05	0.000284933168172	0.000153925718074	1.64227212856e-07	4.88261476979e-07	0.000123480409264	3.54530473064e-08	1.1222858436e-07	4.1602893253e-07	9.3264760066e-10	3.73404985473e-09	0.0609715384949	0.00400900912474	0.0027050053751	8.96805760438e-07	0.000105898095597	9.99989491403
300	0.0833333333333	0.0747572147252	0.00620677904276	0.00398161593821	0.0979228211407	0.0001745646529	0.000497628752272	0.000167800546307	2.99133989209e-07	8.52736629893e-07	0.000147019264309	7.27246261383e-08	2.25563904025e-07	7.29163414775e-07	2.87018759704e-09	1.12671862181e-08	0.0747572147252	0.00620677904276	0.00398161593821	1.09017364469e-06	0.000165626531569	9.99983598743
360	0.1	0.0873629562333	0.00877132254074	0.00536044751061	0.10333407553	0.00028002798048	0.00076689209024	0.000177073271828	4.79855947351e-07	1.31414628584e-06	0.000165351144414	1.2788804644e-07	3.89083157761e-07	1.10254908561e-06	6.87648681255e-09	2.65154829599e-08	0.0873629562333	0.00877132254074	0.00536044751061	1.26362821547e-06	0.000236350429452	9.99976645142
420	0.116666666667	0.0988385660383	0.0116494110162	0.00679537167906	0.106999938415	0.000412313458713	0.0010870248598	0.000183355094468	7.06540342851e-07	1.86272579976e-06	0.000180176022606	2.0294621985e-07	6.06007919943e-07	1.52286998384e-06	1.39833396201e-08	5.30278452198e-08	0.0988385660383	0.0116494110162	0.00679537167906	1.41880894261e-06	0.000316922740119	9.99968751303
480	0.133333333333	0.109255489561	0.0147929628538	0.00825110554602	0.109501687785	0.000570891821161	0.00145195010035	0.000187642092189	9.78280224742e-07	2.48806169197e-06	0.000192622169356	2.99384014267e-07	8.77658333135e-07	1.98110370898e-06	2.53484928228e-08	9.46177204357e-08	0.109255489561	0.0147929628538	0.00825110554602	1.5574788621e-06	0.000406299772238	9.99960026903
540	0.15	0.118693668821	0.0181590245143	0.00970102314816	0.111219473448	0.000754850478246	0.00185574221899	0.000190585689701	1.29351177952e-06	3.17999986647e-06	0.000203426660104	4.18281938783e-07	1.20397831124e-06	2.47112879059e-06	4.22233379157e-08	1.55216576642e-07	0.118693668821	0.0181590245143	0.00970102314816	1.6813554659e-06	0.000503542787326	9.99950570496
600	0.166666666667	0.12723463728	0.0217094828382	0.011125337514	0.112405546543	0.000963056395121	0.00229292515037	0.000192618144557	1.65029343868e-06	3.92915653767e-06	0.000213074358048	5.60394776619e-07	1.5838539315e-06	2.9887240251e-06	6.59277624546e-08	2.38768868848e-07	0.12723463728	0.0217094828382	0.011125337514	1.79203911051e-06	0.000607812810776	9.99940470104
660	0.183333333333	0.134957674612	0.0254106666096	0.0125096334181	0.113227615245	0.00119426755129	0.00275857945309	0.000194026841484	2.04649687589e-06	4.72710175081e-06	0.000221886484196	7.26222873083e-07	2.01540086863e-06	3.53091789193e-06	9.7830251974e-08	3.49152088346e-07	0.134957674612	0.0254106666096	0.0125096334181	1.89098509959e-06	0.000718362614647	9.99929804073
720	0.2	0.141937729884	0.0292329139947	0.0138436972074	0.113797539473	0.00144719823958	0.00324835327636	0.000195003463641	2.47991890334e-06	5.56637817437e-06	0.000230076584636	9.16067272436e-07	2.49619914771e-06	4.09556633207e-06	1.39331642221e-07	4.90117884462e-07	0.141937729884	0.0292329139947	0.0138436972074	1.97949795044e-06	0.00083452776312	9.99918642028
780	0.216666666667	0.14824444533	0.0331501461612	0.0151205889379	0.114190487143	0.00172056377023	0.0037584113561	0.000195676818767	2.94835807667e-06	6.44041369981e-06	0.00023778737087	1.13006862456e-06	3.02347508947e-06	4.68107436628e-06	1.91852570266e-07	6.65249202236e-07	0.14824444533	0.0331501461612	0.0151205889379	2.05873740363e-06	0.000955717705968	9.99907045809
840	0.233333333333	0.153941807541	0.0371394672789	0.0163359086474	0.114456939397	0.00201311658074	0.00428540078925	0.000196133411351	3.44967657276e-06	7.34346279246e-06	0.000245115065085	1.36823094458e-06	3.59421798984e-06	5.28621437189e-06	2.56823697632e-07	8.77933114083e-07	0.153941807541	0.0371394672789	0.0163359086474	2.12972959187e-06	0.00108140741194	9.99895070358
900	0.25	0.159088174646	0.0411807991811	0.017487216585	0.114631088119	0.00232366324189	0.0048263951147	0.000196431832601	3.9818293313e-06	8.27051066856e-06	0.000252125021195	1.63044890543e-06	4.2052895988e-06	5.91000627646e-06	3.35677370057e-07	1.13134232511e-06	0.159088174646	0.0411807991811	0.017487216585	2.19338021084e-06	0.00121112974242	9.99882764513
960	0.266666666667	0.163736519084	0.0452565533146	0.018573575285	0.11473632133	0.00265107319312	0.00537883957498	0.000196612160231	4.54287902372e-06	9.21717949569e-06	0.000258862166061	1.91652772223e-06	4.85350428981e-06	6.55163811322e-06	4.29840844113e-07	1.42842462981e-06	0.163736519084	0.0452565533146	0.018573575285	2.25048796909e-06	0.00134446863038	9.9987017173
1020	0.283333333333	0.167934779539	0.0493513391931	0.0195951879512	0.114788826243	0.00299428228787	0.00594050146261	0.00019670213265	5.1310021285e-06	1.01796433063e-05	0.000265357892589	2.22619882437e-06	5.53568932802e-06	7.21041342712e-06	5.40730766927e-07	1.77189850182e-06	0.167934779539	0.0493513391931	0.0195951879512	2.30175734423e-06	0.00148105304869	9.99857330717
1080	0.3	0.171726258898	0.0534517068486	0.0205531129855	0.114799968201	0.00335229294748	0.00650942644274	0.000196721225508	5.74448919479e-06	1.11545531523e-05	0.000271634602803	2.55913253961e-06	6.24872983805e-06	7.88571642922e-06	6.69748632863e-07	2.16425328324e-06	0.171726258898	0.0534517068486	0.0205531129855	2.3478102157e-06	0.00162055171117	9.99844275984
1140	0.316666666667	0.175150031169	0.0575459200742	0.0214490387885	0.114777865564	0.00372417219005	0.00708390080286	0.00019668335043	6.38174146488e-06	1.21389724158e-05	0.000277708704258	2.91494852001e-06	6.98960178174e-06	8.57698885124e-06	8.18277025409e-07	2.60775280919e-06	0.175150031169	0.0575459200742	0.0214490387885	2.38919623379e-06	0.00176266843392	9.99831038338
1200	0.333333333333	0.178241336299	0.0616237570853	0.0222851063479	0.114728434517	0.00410904841688	0.00766241915114	0.000196598645389	7.04126536716e-06	1.31303214574e-05	0.000283592588556	3.29322441521e-06	7.75539551433e-06	9.28371451663e-06	9.8767650195e-07	3.10444156055e-06	0.178241336299	0.0616237570853	0.0222851063479	2.42640193562e-06	0.0019071380808	9.99817645306
1260	0.35	0.181031951665	0.0656763353481	0.0230637697781	0.11465608395	0.0045061075539	0.00824365691548	0.000196474665456	7.72166590437e-06	1.41263304904e-05	0.000289295939357	3.6935031636e-06	8.54333194947e-06	1.00054090062e-05	1.17928301184e-06	3.65615263278e-06	0.181031951665	0.0656763353481	0.0230637697781	2.45985869282e-06	0.00205372302033	9.99804121508
1320	0.366666666667	0.183550535018	0.0696959575816	0.0237876870492	0.11456417914	0.00491458894122	0.00882644696775	0.000196317177374	8.42163960968e-06	1.51249995239e-05	0.000294826598439	4.11529917967e-06	9.3507729463e-06	1.07416126914e-05	1.39440576175e-06	4.26451696226e-06	0.183550535018	0.0696959575816	0.0237876870492	2.48994960794e-06	0.00220221002724	9.99790488984
1380	0.383333333333	0.185822937256	0.0736759762453	0.0244596347611	0.114455352515	0.00533378121985	0.00940975973923	0.000196130692069	9.13996749833e-06	1.61245642891e-05	0.000300191140229	4.55810364805e-06	1.01752272022e-05	1.14918859976e-05	1.63432545968e-06	4.93097337319e-06	0.185822937256	0.0736759762453	0.0244596347611	2.51701548412e-06	0.00235240756932	9.99776767478
1440	0.4	0.187872485467	0.0776106741452	0.0250824420879	0.114331713086	0.00576301836687	0.00999268626625	0.000195918823545	9.87550827347e-06	1.71234671859e-05	0.000305395253923	5.02138908502e-06	1.10143526732e-05	1.22558061458e-05	1.90029288255e-06	5.65677910468e-06	0.187872485467	0.0776106741452	0.0250824420879	2.54135998897e-06	0.00250414342785	9.99762974694
1500	0.416666666667	0.189720237797	0.0814951590889	0.0256589400139	0.114194988633	0.00620167596435	0.0105744236852	0.000195684532521	1.06271919325e-05	1.8120332427e-05	0.000310443998488	5.50461329166e-06	1.18659563349e-05	1.30329648783e-05	2.1935277219e-06	6.44302055504e-06	0.189720237797	0.0814951590889	0.0256589400139	2.56325412288e-06	0.00265726260629	9.99749126508
1560	0.433333333333	0.191385212267	0.0853252707942	0.0261919227678	0.114046623106	0.00664916774366	0.0111542627731	0.000195430293355	1.13940138455e-05	1.9113944688e-05	0.000315341973594	6.00722279513e-06	1.27279919332e-05	1.38229668403e-05	2.51521767057e-06	7.2906240411e-06	0.191385212267	0.0853252707942	0.0261919227678	2.58294009033e-06	0.0028116254889	9.99735237172
