 MCS  Time(hr)  APAP_exp_ug/ml  APAP_calc_ug/ml  APAP_abs_err_ug/ml  APAPS_exp_ug/ml  APAPS_calc_ug/ml  APAPS_abs_err_ug/ml  APAPG_exp_ug/ml  APAPG_calc_ug/ml  APAPG_abs_err_ug/ml  total_err_this_step  cumulative_total_err  RMSeTotal  accumChiSquaredTotal
      0    0.00          0.00    0.000    0.000          0.00    0.000    0.000          0.00    0.000    0.000         0.000    0.000        0.0000         0.0000
   1080    0.30          8.94    9.732    0.792          0.76    0.269    0.491          0.33    0.124    0.206         1.489    1.489        0.3895         0.5160
   1800    0.50         14.67   12.892    1.778          1.97    1.143    0.827          1.75    0.659    1.091         3.696    5.184        0.8127         1.7589
   2700    0.75         16.77   14.703    2.067          2.96    2.232    0.728          3.65    1.574    2.076         4.871   10.056        1.1201         3.3733
   3600    1.00         16.63   15.597    1.033          3.41    3.282    0.128          4.71    2.773    1.937         3.098   13.154        1.1515         4.2385
   5400    1.50         14.89   15.666    0.776          4.06    4.955    0.895          7.74    5.666    2.074         3.745   16.899        1.1925         5.0319
   7200    2.00         13.98   14.462    0.482          4.24    6.056    1.816          9.32    8.784    0.536         2.834   19.733        1.1835         5.8574
  10800    3.00         10.85   10.590    0.260          4.24    7.147    2.907         10.78   14.528    3.748         6.915   26.647        1.4716         9.1592
  14400    4.00          8.14    6.326    1.814          3.71    7.463    3.753         10.75   18.840    8.090        13.658   40.306        2.2345        19.4498
  18000    5.00          6.12    2.724    3.396          3.20    7.335    4.135          9.48   21.457   11.977        19.508   59.814        3.1984        41.8093
  21600    6.00          4.45    0.878    3.572          2.68    6.435    3.755          8.13   21.896   13.766        21.094   80.907        3.9820        73.2480
  25200    7.00          3.13    0.259    2.871          2.15    4.448    2.298          6.78   19.649   12.869        18.038   98.946        4.4171       102.7649
  28800    8.00          2.72    0.075    2.645          1.66    2.455    0.795          5.18   15.770   10.590        14.031  112.977        4.5915       127.3707
  43200   12.00          1.20    0.001    1.199          0.72    0.100    0.620          2.05    3.777    1.727         3.546  116.523        4.4374       130.5581
