 MCS  Time(hr)  APAP_exp_ug/ml  APAP_calc_ug/ml  APAP_abs_err_ug/ml  APAPS_exp_ug/ml  APAPS_calc_ug/ml  APAPS_abs_err_ug/ml  APAPG_exp_ug/ml  APAPG_calc_ug/ml  APAPG_abs_err_ug/ml  total_err_this_step  cumulative_total_err  RMSeTotal  accumChiSquaredTotal
      0    0.00          0.00    0.000    0.000          0.00    0.000    0.000          0.00    0.000    0.000         0.000    0.000        0.0000         0.0000
   1080    0.30          8.94   10.590    1.650          0.76    0.304    0.456          0.33    0.139    0.191         2.298    2.298        0.7032         0.6896
   1800    0.50         14.67   13.406    1.264          1.97    1.302    0.668          1.75    0.721    1.029         2.961    5.259        0.8212         1.6302
   2700    0.75         16.77   14.940    1.830          2.96    2.409    0.551          3.65    1.624    2.026         4.407    9.666        1.0734         3.0567
   3600    1.00         16.63   15.594    1.036          3.41    3.356    0.054          4.71    2.685    2.025         3.115   12.780        1.1256         3.9929
   5400    1.50         14.89   15.276    0.386          4.06    4.673    0.613          7.74    4.862    2.878         3.877   16.657        1.2429         5.1651
   7200    2.00         13.98   13.807    0.173          4.24    5.397    1.157          9.32    6.776    2.544         3.875   20.532        1.3029         6.1776
  10800    3.00         10.85    9.800    1.050          4.24    5.799    1.559         10.78    9.358    1.422         4.031   24.562        1.3103         7.0399
  14400    4.00          8.14    5.998    2.142          3.71    5.420    1.710         10.75   10.383    0.367         4.219   28.781        1.3451         8.4041
  18000    5.00          6.12    3.189    2.931          3.20    4.550    1.350          9.48   10.137    0.657         4.939   33.720        1.4106        10.4232
  21600    6.00          4.45    1.519    2.931          2.68    3.366    0.686          8.13    8.899    0.769         4.386   38.106        1.4497        12.6025
  25200    7.00          3.13    0.680    2.450          2.15    2.187    0.037          6.78    7.098    0.318         2.805   40.911        1.4478        14.5353
  28800    8.00          2.72    0.296    2.424          1.66    1.280    0.380          5.18    5.243    0.063         2.867   43.778        1.4454        16.7830
  43200   12.00          1.20    0.010    1.190          0.72    0.087    0.633          2.05    1.049    1.001         2.825   46.602        1.4167        19.0095
