mcs	time(hr)	hep1.dict['APAP']	hep1.dict['APAPG']	hep1.dict['APAPS']	blood1.dict['APAP']	blood1.dict['APAPG']	blood1.dict['APAPS']	PBPKspeciesDictAPAP['CLiver']	PBPKspeciesDictAPAPG['CLiver']	PBPKspeciesDictAPAPS['CLiver']	PBPKspeciesDictAPAP['CVen']	PBPKspeciesDictAPAPG['CVen']	PBPKspeciesDictAPAPS['CVen']	PBPKspeciesDictAPAP['CTubules']	PBPKspeciesDictAPAPG['CTubules']	PBPKspeciesDictAPAPS['CTubules']	SUBCELLspeciesDict['APAP']	SUBCELLspeciesDict['APAPconj_Glu']	SUBCELLspeciesDict['APAPconj_Sul']	SUBCELLspeciesDict['NAPQI']	SUBCELLspeciesDict['NAPQIGSH']	SUBCELLspeciesDict['GSH']
0	0.0	7.14438584658e-08	0.0	0.0	1.89241793468e-05	0.0	0.0	3.24284737287e-08	0.0	0.0	2.78238046852e-10	0.0	0.0	2.43382487059e-19	0.0	0.0	7.14438584658e-08	0.0	0.0	0.0	0.0	10.0
60	0.0166666666667	0.00121850351182	1.48891161368e-05	1.2109933695e-05	0.0287172379629	5.84937392691e-07	2.01897337938e-06	4.92098589732e-05	1.00234871612e-09	3.4597127829e-09	1.67683554622e-05	7.06748674757e-11	2.5488678209e-10	2.98831215746e-09	9.09452024509e-14	3.02222101739e-13	0.00121850351182	1.48891161368e-05	1.2109933695e-05	1.80197643865e-10	3.69368425179e-09	9.99999999631
120	0.0333333333333	0.00349068828929	9.65240094584e-05	7.62652532287e-05	0.0594790450524	7.36682804994e-06	2.48744536814e-05	0.000101923291602	1.26237965464e-08	4.26248638284e-08	5.70938453631e-05	1.6536492183e-09	5.66848474236e-09	5.21345367561e-08	8.17077748229e-12	3.47747773865e-11	0.00349068828929	9.65240094584e-05	7.62652532287e-05	5.29555674815e-10	2.47801138222e-08	9.9999999753
180	0.05	0.00585776972978	0.000258946401013	0.000198476015839	0.0785594283879	2.82962337848e-05	9.32380588527e-05	0.000134619436486	4.84884262137e-08	1.5977273765e-07	9.56436573368e-05	8.41889164469e-09	2.85799183332e-08	1.98078737307e-07	1.07576503261e-10	4.5503673e-10	0.00585776972978	0.000258946401013	0.000198476015839	8.93827226821e-10	6.7566553149e-08	9.99999993278
240	0.0666666666667	0.00811531107884	0.00049878506624	0.000370716009839	0.0900228020452	6.90483823734e-05	0.000221913493191	0.000154263073585	1.18321308035e-07	3.80270961932e-07	0.000125378485912	2.4518599252e-08	8.26721470301e-08	4.40250909339e-07	5.71813299264e-10	2.3961089814e-09	0.00811531107884	0.00049878506624	0.000370716009839	1.24044953419e-09	1.31760024841e-07	9.99999986917
300	0.0833333333333	0.0102022403938	0.000808621669443	0.000582752860921	0.0971402517243	0.000133029304231	0.000417049665731	0.000166459535355	2.27959015731e-07	7.14656307197e-07	0.000147548717946	5.35723650639e-08	1.7964459439e-07	7.58146602038e-07	1.91162825103e-09	7.94991381701e-09	0.0102022403938	0.000808621669443	0.000582752860921	1.56006304849e-09	2.15960277214e-07	9.999999786
360	0.1	0.0121019725302	0.0011800450965	0.000824718490077	0.101614627257	0.000221998464264	0.000679219741452	0.000174126825267	3.80416568362e-07	1.16391094895e-06	0.000164458088624	9.84813279413e-08	3.2851981487e-07	1.13283055681e-06	4.85645720572e-09	2.00707073121e-08	0.0121019725302	0.0011800450965	0.000824718490077	1.85013069395e-09	3.184501611e-07	9.99999968509
420	0.116666666667	0.0138153810439	0.00160468498088	0.00108783515716	0.104392107381	0.000336575193548	0.00100569422229	0.000178886315208	5.76755251663e-07	1.72335761931e-06	0.000177842743398	1.61488468455e-07	5.35764823585e-07	1.55083760366e-06	1.03150204247e-08	4.23938352287e-08	0.0138153810439	0.00160468498088	0.00108783515716	2.11107346282e-09	4.37463508271e-07	9.99999956831
480	0.133333333333	0.015351204897	0.00207462330684	0.00136458756113	0.106058200517	0.000476602136901	0.00139195996865	0.000181741332406	8.16705421794e-07	2.38526260227e-06	0.000188851600713	2.4428647817e-07	8.05564311538e-07	2.00309732557e-06	1.93360205216e-08	7.90531226922e-08	0.015351204897	0.00207462330684	0.00136458756113	2.34441885469e-09	5.71294806582e-07	9.99999943745
540	0.15	0.0167218234181	0.00258256888567	0.00164869983176	0.106993379752	0.000641406134683	0.00183261015502	0.000183343855544	1.09911355239e-06	3.14036076164e-06	0.000198233570686	3.48119426396e-07	1.14024028041e-06	2.4834941018e-06	3.307444225e-08	1.34511482295e-07	0.0167218234181	0.00258256888567	0.00164869983176	2.55221917771e-09	7.18348276683e-07	9.9999992942
600	0.166666666667	0.0179410638113	0.0031219182033	0.00193503412764	0.107447785287	0.000829985120299	0.00232194000277	0.000184122524867	1.42226250214e-06	3.97887638875e-06	0.000206479479863	4.73869337114e-07	1.54054128828e-06	2.98784318858e-06	5.27638228972e-08	2.13421613293e-07	0.0179410638113	0.0031219182033	0.00193503412764	2.73671456397e-09	8.77158173149e-07	9.99999914008
660	0.183333333333	0.0190229798102	0.00368675651292	0.00221946005701	0.107585781707	0.00104115074884	0.0028543031709	0.000184358995533	1.78411592321e-06	4.89113391366e-06	0.000213912962356	6.22116293612e-07	2.00594430462e-06	3.51322507129e-06	7.96941559425e-08	3.20509647818e-07	0.0190229798102	0.00368675651292	0.00221946005701	2.90017011772e-09	1.04639373844e-06	9.9999989765
720	0.2	0.0199811680902	0.00427182793346	0.00249871909961	0.107515435879	0.00127361395338	0.00342430994511	0.000184238450921	2.18246487051e-06	5.86789752194e-06	0.000220747839971	7.93211796651e-07	2.53493188082e-06	4.05755408427e-06	1.15193155969e-07	4.60480069135e-07	0.0199811680902	0.00427182793346	0.00249871909961	3.04472114189e-09	1.22485609098e-06	9.99999880469
780	0.216666666667	0.0208284056605	0.00487249313526	0.00277029743884	0.10730816877	0.00152604719233	0.00402691285221	0.000183883278004	2.61503446878e-06	6.90051786354e-06	0.000227125936178	9.87318481484e-07	3.12522944031e-06	4.61929459659e-06	1.60611590934e-07	6.37939194996e-07	0.0208284056605	0.00487249313526	0.00277029743884	3.17236342438e-09	1.41147156621e-06	9.99999862578
840	0.233333333333	0.0215764822569	0.00548467539605	0.00303230641283	0.107010798475	0.00179713534298	0.00465747053165	0.000183373704268	3.07957112373e-06	7.98104150304e-06	0.000233142128121	1.20444042209e-06	3.77397896526e-06	5.19727621074e-06	2.17311867653e-07	8.57338283398e-07	0.0215764822569	0.00548467539605	0.00303230641283	3.28493330873e-09	1.60528177346e-06	9.99999844077
900	0.25	0.0222361433238	0.00610480680497	0.00328337757596	0.10665407841	0.00208560363512	0.00531175853572	0.000182762428764	3.57389038915e-06	9.10222942682e-06	0.000238860216064	1.44445535782e-06	4.47790607375e-06	5.79057270319e-06	2.86658319763e-07	1.1229293825e-06	0.0222361433238	0.00610480680497	0.00328337757596	3.38409524497e-09	1.80543334389e-06	9.99999825055
960	0.266666666667	0.0228171009336	0.00672977600094	0.00352257130754	0.106258235492	0.00239023449593	0.00598595866588	0.00018208411234	4.09590583223e-06	1.02575387699e-05	0.000244323541393	1.70713892307e-06	5.2334539903e-06	6.39842203711e-06	3.70009373995e-07	1.43873326551e-06	0.0228171009336	0.00672977600094	0.00352257130754	3.47134650632e-09	2.01116771745e-06	9.9999980559
1020	0.283333333333	0.0233280824218	0.00735687898117	0.00374929821289	0.105836583451	0.00270987689267	0.00667663704628	0.000181361569402	4.64364504328e-06	1.14410852425e-05	0.000249561976954	1.99218399108e-06	6.03689258124e-06	7.02017367324e-06	4.6871123394e-07	1.80851741988e-06	0.0233280824218	0.00735687898117	0.00374929821289	3.54802704843e-09	2.22181138665e-06	9.99999785751
